order_id,order_date,ship_mode,segment,region,product_id,category,sub_category,sales,quantity,discount,profit,year,month,day,dayofweek,weekofyear,unit_price
CA-2014-103849,2014-05-11,Standard Class,Consumer,Central,FUR-FU-10000723,Furniture,Furnishings,66.112,4,0.6,-84.2928,2014,5,11,6,19,16.528
CA-2014-152100,2014-05-11,Standard Class,Corporate,Central,FUR-CH-10000015,Furniture,Chairs,1212.96,8,0.3,-69.312,2014,5,11,6,19,151.62
CA-2014-127159,2014-05-12,First Class,Consumer,Central,FUR-FU-10000010,Furniture,Furnishings,34.79,7,0.0,10.7849,2014,5,12,0,20,4.97
CA-2014-155887,2014-05-12,Standard Class,Consumer,East,FUR-TA-10002228,Furniture,Tables,700.056,3,0.3,-130.0104,2014,5,12,0,20,233.352
CA-2014-113768,2014-05-13,Standard Class,Corporate,West,FUR-CH-10002439,Furniture,Chairs,279.456,6,0.2,20.9592,2014,5,13,1,20,46.576
CA-2014-106810,2014-05-14,Standard Class,Corporate,South,FUR-FU-10004306,Furniture,Furnishings,310.88,2,0.2,23.316,2014,5,14,2,20,155.44
CA-2014-125150,2014-05-16,Standard Class,Corporate,West,FUR-CH-10002439,Furniture,Chairs,232.88,5,0.2,17.466,2014,5,16,4,20,46.576
CA-2014-164224,2014-05-18,Second Class,Consumer,East,FUR-FU-10000308,Furniture,Furnishings,149.232,3,0.2,3.7308,2014,5,18,6,20,49.744
US-2014-114188,2014-05-20,Second Class,Corporate,East,FUR-FU-10000076,Furniture,Furnishings,139.86,7,0.0,60.1398,2014,5,20,1,21,19.98
CA-2014-130673,2014-05-20,Second Class,Corporate,Central,FUR-FU-10003489,Furniture,Furnishings,10.332,3,0.6,-5.9409,2014,5,20,1,21,3.4440000000000004
CA-2014-127166,2014-05-21,Second Class,Consumer,Central,FUR-CH-10003396,Furniture,Chairs,107.772,2,0.3,-29.2524,2014,5,21,2,21,53.886
US-2014-130379,2014-05-25,Standard Class,Consumer,Central,FUR-FU-10002553,Furniture,Furnishings,29.32,2,0.6,-24.189,2014,5,25,6,21,14.66
CA-2014-144029,2014-05-26,Standard Class,Consumer,Central,FUR-CH-10003981,Furniture,Chairs,359.772,2,0.3,-5.1396,2014,5,26,0,22,179.886
CA-2014-156349,2014-05-26,Standard Class,Corporate,West,FUR-BO-10000362,Furniture,Bookcases,290.666,2,0.15,27.3568,2014,5,26,0,22,145.333
CA-2014-158029,2014-05-26,Standard Class,Consumer,West,FUR-CH-10000988,Furniture,Chairs,225.296,2,0.2,22.5296,2014,5,26,0,22,112.648
CA-2014-124429,2014-05-27,Same Day,Corporate,West,FUR-TA-10002607,Furniture,Tables,567.12,10,0.2,-28.356,2014,5,27,1,22,56.712
CA-2014-145800,2014-05-30,Standard Class,Consumer,Central,FUR-TA-10001539,Furniture,Tables,355.455,3,0.5,-184.8366,2014,5,30,4,22,118.485
US-2014-165659,2014-06-01,Standard Class,Consumer,South,FUR-FU-10001935,Furniture,Furnishings,22.2,6,0.0,9.102,2014,6,1,6,22,3.6999999999999997
CA-2014-131926,2014-06-01,Second Class,Home Office,Central,FUR-CH-10004063,Furniture,Chairs,2001.86,7,0.0,580.5394,2014,6,1,6,22,285.97999999999996
CA-2014-104472,2014-06-02,Standard Class,Home Office,West,FUR-FU-10000246,Furniture,Furnishings,73.32,6,0.0,21.996,2014,6,2,0,23,12.219999999999999
CA-2014-135657,2014-06-03,Second Class,Consumer,West,FUR-TA-10004086,Furniture,Tables,515.88,6,0.0,113.4936,2014,6,3,1,23,85.98
CA-2014-163867,2014-06-03,First Class,Consumer,Central,FUR-FU-10001475,Furniture,Furnishings,61.544,7,0.6,-40.0036,2014,6,3,1,23,8.792
CA-2014-151946,2014-06-04,Standard Class,Consumer,East,FUR-FU-10002191,Furniture,Furnishings,13.96,2,0.0,6.7008,2014,6,4,2,23,6.98
CA-2014-151946,2014-06-04,Standard Class,Consumer,East,FUR-BO-10003272,Furniture,Bookcases,353.568,2,0.2,-44.196,2014,6,4,2,23,176.784
CA-2014-151946,2014-06-04,Standard Class,Consumer,East,FUR-FU-10002878,Furniture,Furnishings,56.96,2,0.0,21.0752,2014,6,4,2,23,28.48
CA-2014-159520,2014-06-06,Standard Class,Corporate,East,FUR-TA-10003238,Furniture,Tables,991.764,3,0.4,-347.1174,2014,6,6,4,23,330.588
CA-2014-106229,2014-06-07,Second Class,Consumer,Central,FUR-TA-10002041,Furniture,Tables,268.935,3,0.5,-209.7693,2014,6,7,5,23,89.645
US-2014-141257,2014-06-08,Standard Class,Consumer,West,FUR-CH-10002758,Furniture,Chairs,585.552,3,0.2,73.194,2014,6,8,6,23,195.184
US-2014-109162,2014-06-08,Standard Class,Corporate,South,FUR-CH-10002647,Furniture,Chairs,170.352,3,0.2,10.647,2014,6,8,6,23,56.784
CA-2014-132612,2014-06-09,Second Class,Consumer,South,FUR-TA-10004534,Furniture,Tables,1441.3,7,0.0,245.021,2014,6,9,0,24,205.9
CA-2014-115812,2014-06-09,Standard Class,Consumer,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,2014,6,9,0,24,189.576
CA-2014-160262,2014-06-09,Second Class,Corporate,West,FUR-FU-10002685,Furniture,Furnishings,37.4,2,0.0,14.212,2014,6,9,0,24,18.7
CA-2014-115812,2014-06-09,Standard Class,Consumer,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,6,9,0,24,6.9799999999999995
CA-2014-140487,2014-06-14,Standard Class,Home Office,Central,FUR-BO-10000711,Furniture,Bookcases,212.94,3,0.0,57.4938,2014,6,14,5,24,70.98
US-2014-141215,2014-06-15,Standard Class,Corporate,Central,FUR-CH-10003379,Furniture,Chairs,797.944,4,0.3,-56.996,2014,6,15,6,24,199.486
US-2014-141215,2014-06-15,Standard Class,Corporate,Central,FUR-TA-10001520,Furniture,Tables,99.918,2,0.3,-18.5562,2014,6,15,6,24,49.959
CA-2014-136644,2014-06-16,Standard Class,Consumer,Central,FUR-CH-10000225,Furniture,Chairs,647.84,8,0.0,32.392,2014,6,16,0,25,80.98
CA-2014-144414,2014-06-17,Standard Class,Consumer,West,FUR-FU-10003981,Furniture,Furnishings,6.24,3,0.0,2.6208,2014,6,17,1,25,2.08
CA-2014-166863,2014-06-20,Standard Class,Consumer,Central,FUR-BO-10001608,Furniture,Bookcases,193.0656,4,0.32,-19.8744,2014,6,20,4,25,48.2664
US-2014-117135,2014-06-21,Second Class,Consumer,South,FUR-FU-10004071,Furniture,Furnishings,104.01,1,0.0,14.5614,2014,6,21,5,25,104.01
CA-2014-138317,2014-06-21,Standard Class,Consumer,East,FUR-FU-10000550,Furniture,Furnishings,3.984,1,0.2,0.6474,2014,6,21,5,25,3.984
CA-2014-154963,2014-06-22,Standard Class,Consumer,East,FUR-CH-10000454,Furniture,Chairs,853.93,5,0.3,0.0,2014,6,22,6,25,170.786
CA-2014-154963,2014-06-22,Standard Class,Consumer,East,FUR-CH-10004698,Furniture,Chairs,170.058,3,0.3,-4.8588,2014,6,22,6,25,56.686
CA-2014-159814,2014-06-24,Standard Class,Consumer,West,FUR-FU-10001731,Furniture,Furnishings,4.272,2,0.2,0.9612,2014,6,24,1,26,2.136
CA-2014-159338,2014-06-25,First Class,Corporate,West,FUR-TA-10004147,Furniture,Tables,447.84,5,0.2,11.196,2014,6,25,2,26,89.568
CA-2014-104283,2014-06-27,Standard Class,Consumer,South,FUR-TA-10001039,Furniture,Tables,85.98,1,0.0,22.3548,2014,6,27,4,26,85.98
CA-2014-140858,2014-06-28,Standard Class,Consumer,East,FUR-CH-10001394,Furniture,Chairs,1228.465,5,0.3,0.0,2014,6,28,5,26,245.69299999999998
CA-2014-103317,2014-07-05,First Class,Corporate,South,FUR-FU-10003192,Furniture,Furnishings,213.216,3,0.2,15.9912,2014,7,5,5,27,71.072
CA-2014-103317,2014-07-05,First Class,Corporate,South,FUR-FU-10001591,Furniture,Furnishings,19.52,2,0.2,5.368,2014,7,5,5,27,9.76
CA-2014-147543,2014-07-06,Standard Class,Home Office,West,FUR-CH-10000155,Furniture,Chairs,478.48,2,0.2,47.848,2014,7,6,6,27,239.24
US-2014-138758,2014-07-07,Standard Class,Consumer,East,FUR-CH-10002880,Furniture,Chairs,172.186,2,0.3,-46.7362,2014,7,7,0,28,86.093
US-2014-138758,2014-07-07,Standard Class,Consumer,East,FUR-FU-10003039,Furniture,Furnishings,69.008,2,0.2,12.0764,2014,7,7,0,28,34.504
CA-2014-100090,2014-07-08,Standard Class,Corporate,West,FUR-TA-10003715,Furniture,Tables,502.488,3,0.2,-87.9354,2014,7,8,1,28,167.496
CA-2014-150301,2014-07-08,First Class,Consumer,East,FUR-CH-10002647,Furniture,Chairs,63.882,1,0.1,10.647,2014,7,8,1,28,63.882
CA-2014-113271,2014-07-09,Standard Class,Home Office,West,FUR-BO-10004218,Furniture,Bookcases,119.833,1,0.15,7.049,2014,7,9,2,28,119.833
CA-2014-163552,2014-07-11,Standard Class,Corporate,East,FUR-CH-10003379,Furniture,Chairs,854.94,3,0.0,213.735,2014,7,11,4,28,284.98
CA-2014-163552,2014-07-11,Standard Class,Corporate,East,FUR-FU-10000629,Furniture,Furnishings,124.11,9,0.0,52.1262,2014,7,11,4,28,13.79
CA-2014-161508,2014-07-12,Standard Class,Home Office,Central,FUR-CH-10002126,Furniture,Chairs,512.358,3,0.3,-14.6388,2014,7,12,5,28,170.78599999999997
CA-2014-131310,2014-07-12,Standard Class,Consumer,West,FUR-CH-10001797,Furniture,Chairs,123.136,4,0.2,13.8528,2014,7,12,5,28,30.784
CA-2014-129924,2014-07-12,Standard Class,Corporate,West,FUR-TA-10004575,Furniture,Tables,698.352,3,0.2,-17.4588,2014,7,12,5,28,232.784
US-2014-165862,2014-07-13,Standard Class,Corporate,West,FUR-TA-10002855,Furniture,Tables,351.216,3,0.2,4.3902,2014,7,13,6,28,117.072
CA-2014-164182,2014-07-14,Standard Class,Consumer,East,FUR-FU-10001057,Furniture,Furnishings,31.984,2,0.2,1.1994,2014,7,14,0,29,15.992
CA-2014-123295,2014-07-18,Same Day,Home Office,West,FUR-CH-10002372,Furniture,Chairs,259.136,4,0.2,-25.9136,2014,7,18,4,29,64.784
US-2014-150434,2014-07-19,Standard Class,Corporate,East,FUR-TA-10004152,Furniture,Tables,70.56,1,0.3,-4.032,2014,7,19,5,29,70.56
CA-2014-141726,2014-07-20,First Class,Consumer,West,FUR-FU-10003577,Furniture,Furnishings,43.02,3,0.0,15.4872,2014,7,20,6,29,14.340000000000002
CA-2014-143903,2014-07-20,Standard Class,Home Office,Central,FUR-FU-10003724,Furniture,Furnishings,16.74,5,0.6,-14.229,2014,7,20,6,29,3.348
CA-2014-143903,2014-07-20,Standard Class,Home Office,Central,FUR-CH-10002024,Furniture,Chairs,981.372,2,0.3,-140.196,2014,7,20,6,29,490.686
CA-2014-116932,2014-07-21,Standard Class,Corporate,West,FUR-CH-10001215,Furniture,Chairs,801.568,2,0.2,50.098,2014,7,21,0,30,400.784
CA-2014-129189,2014-07-21,Standard Class,Corporate,Central,FUR-CH-10004997,Furniture,Chairs,657.93,5,0.3,-93.99,2014,7,21,0,30,131.58599999999998
CA-2014-116932,2014-07-21,Standard Class,Corporate,West,FUR-TA-10004175,Furniture,Tables,272.848,1,0.2,27.2848,2014,7,21,0,30,272.848
CA-2014-117464,2014-07-22,Second Class,Consumer,West,FUR-CH-10000155,Furniture,Chairs,717.72,3,0.2,71.772,2014,7,22,1,30,239.24
CA-2014-117464,2014-07-22,Second Class,Consumer,West,FUR-TA-10004767,Furniture,Tables,170.352,3,0.2,19.1646,2014,7,22,1,30,56.784
CA-2014-143917,2014-07-25,Second Class,Consumer,West,FUR-FU-10004351,Furniture,Furnishings,77.92,8,0.0,34.2848,2014,7,25,4,30,9.74
CA-2014-116190,2014-07-26,Standard Class,Consumer,South,FUR-FU-10000719,Furniture,Furnishings,25.71,3,0.0,9.2556,2014,7,26,5,30,8.57
CA-2014-116190,2014-07-26,Standard Class,Consumer,South,FUR-CH-10000553,Furniture,Chairs,67.88,2,0.0,18.3276,2014,7,26,5,30,33.94
CA-2014-126760,2014-07-26,Standard Class,Consumer,West,FUR-CH-10003312,Furniture,Chairs,674.352,3,0.2,-109.5822,2014,7,26,5,30,224.784
CA-2014-126760,2014-07-26,Standard Class,Consumer,West,FUR-FU-10004018,Furniture,Furnishings,134.01,9,0.0,36.1827,2014,7,26,5,30,14.889999999999999
CA-2014-169019,2014-07-26,Standard Class,Consumer,Central,FUR-FU-10004666,Furniture,Furnishings,17.496,3,0.6,-10.0602,2014,7,26,5,30,5.832
CA-2014-131541,2014-07-28,Same Day,Consumer,South,FUR-FU-10003623,Furniture,Furnishings,129.888,6,0.2,12.9888,2014,7,28,0,31,21.648
